sr,zone,area_name,ward_id_guess,name_and_address,type,lat,lon,source,coord_quality
17,South,GHODASHAR GHODASAR,AMC-45,GHODASHAR GHODASAR URBAN HEALTH CENTER AT PANI TAKI NR RAMWADI BUSSTOP ISANPUR AHMEDABAD 382443,urban_health_centre,22.9785228,72.6101796,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_locality
18,Central,GIRDHARNAGAR GIRHDAR,AMC-16,GIRDHARNAGAR GIRHDAR NAGAR UHC NR CIVIL HOSPITAL OPP MARUTI SHOPE GIRDHAR NAGAR,urban_health_centre,23.0502144,72.5978915,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_ward_name
19,East,GOMTIPUR GOMTIPUR,AMC-39,"GOMTIPUR GOMTIPUR CHC,OPP.DENA BANK, GOMTIPUR SHAK MARKET, GOMTIPUR DARVAJA, GOMTIPUR",urban_health_centre,23.0136957,72.620581,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_area
20,North West,GOTA OGHNAJ,AMC-01,"GOTA OGHNAJ URBAN HEALTH CENTRE, NEAR SHAH V. H. H. HIGH SCHOOL, OGHNAJ - GOTA ROAD, OGNAJ, AHEMDABAD - 380060",urban_health_centre,23.1010002,72.5408363,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_ward_name
21,North,INDIA COLONEY,AMC-22,INDIA COLONEY (POTALIYA) INDIA COLONY UHC OPP.CHANDRAPRASAD DESAI HALL BAPUNAGAR AHMEDABAD 380024,urban_health_centre,,,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",not_found
22,South,INDRAPURI INDRAPURI,AMC-42,"INDRAPURI INDRAPURI UPHC, NR SWASTIK MALL, OPP RABARI COLONY VASTRAL",urban_health_centre,23.000699991037088,72.63896533551447,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",ward_centroid
23,South,ISANPUR ISANPUR,AMC-46,"ISANPUR ISANPUR UHC AADARSH TENAMENT,OPP CHANDOLA LAKE,NR LOTUSH SCHOOL",urban_health_centre,22.9738305,72.5986127,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_area
24,Central,JAMALPUR GROUND,AMC-29,"JAMALPUR GROUND FLOOR ,AROGYABHAVAN,OPP OLD S.T BUS STAND,ASTODIA",urban_health_centre,23.0139241,72.5820624,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_ward_name
25,South West,JODHPUR JODHPUR,AMC-20,JODHPUR JODHPUR URBAN HELTH CENTRE RATHI HOSPITAL NI SAME BARIYADEV NA MANDIR NI BAJUMA JODHPUR CHAR RASTA,urban_health_centre,23.0139664,72.5288636,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_area
26,West,JUNA WADAJ,AMC-06,"JUNA WADAJ OPP SUGAMYA FLAT, NR NANDANVAN COMPLEX, KESHAVNAGAR, SUBHASH BRIDGE CIRCLE, AHEMDABAD-380027",urban_health_centre,23.0670122,72.5620316,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_ward_name
27,West,KALI NEAR,AMC-03,KALI NEAR PANI NI TANKI OPP. D CABIN BUS STAND AHMEDABAD,urban_health_centre,23.1074711,72.5744644,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_ward_name
28,Central,KALUPUR 1ST,AMC-28,KALUPUR 1ST FLOOR SAMJUBA BUIDING OPP CALICO DOM RELIEF ROAD KALUPUR-380001,urban_health_centre,23.0263312,72.601,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_ward_name
29,South,KANKARIYA KANKARIA,AMC-37,KANKARIYA KANKARIA URBAN HEALTH CENTER OPP KANAK SOCIETY NEAR VED MANDIR MAJURGAM ROAD KANKARIA 380022,urban_health_centre,23.0017632,72.5940885,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_locality
30,Central,KHADIYA MU,AMC-28,KHADIYA MU SCHOOL NO 32 DESAI NI POLE KHADIA URBEN HELATH CENTER,urban_health_centre,23.0205453,72.5899775,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_ward_name
31,South,KHOKHARA BALBHAVAN,AMC-44,"KHOKHARA BALBHAVAN NEAR, KHOKHARA CIRCLE, OPP: DHARMJIVAN FLAT, MANINAGAR ROAD-380008.",urban_health_centre,23.0017465,72.6183012,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_ward_name
32,North,KRISHNANAGAR NEAR,AMC-12,"KRISHNANAGAR NEAR SAIJPUR TOWER,BESIDES KARNAWATI HOSPITAL,AMC COMPOUND,SAIJPUR BOGHA",urban_health_centre,23.060079,72.643691,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_ward_name
33,North,KUBERNAGAR 1,AMC-11,"KUBERNAGAR 1 / B.J.RAW HOUSE, NR. LIMDA BUS STAND BHARGAV ROAD, KUBERNAGAR 382340",urban_health_centre,23.0804086,72.6340502,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_area
34,South,LAMBHA JUNI,AMC-46,LAMBHA JUNI PANCHAY OFFICE LAMBHA BAS STAND LAMBHA GAM,urban_health_centre,22.9317728,72.5749418,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_ward_name
35,Central,MADHUPURA MADHUPURA,AMC-29,MADHUPURA MADHUPURA UHC NEAR HAJIPURA GARDEN SHAHIBAUG AHMEDABAD,urban_health_centre,23.0271285,72.5815218,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_area
36,South,MANINAGAR MANINAGAR,AMC-37,"MANINAGAR MANINAGAR URBAN HEALTH CENTER, NR. UTTAMNAGAR GARDEN, JAYHIND CROSS ROAD, MANINAGAR",urban_health_centre,22.9950656,72.61048,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_area
37,North,MEGHANINAGAR MEGHANINAGAR,,"MEGHANINAGAR MEGHANINAGAR UHC, UNDER THE MEMCO BRIEDGE Dr. JIGNESH MODI 8238947971",urban_health_centre,,,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",not_found
38,West,NARANPURA NARANPURA,AMC-18,NARANPURA NARANPURA URBAN HEALTH CENTER NR KAMESHWAR TEMPLE ANKUR ROAD NARANPURA,urban_health_centre,23.0362323,72.5496859,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_area
39,North,NARODA MUTHIYA,AMC-12,"NARODA MUTHIYA NARODA UPHC,OPP.GUJARATI SHALA NO.4-5,BHARVADVAS,NARODA",urban_health_centre,23.0959421,72.6795769,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_locality
40,North,NARODA ROAD,AMC-22,"NARODA ROAD NARODA ROAD UPHC, NEAR CHAMUND SLUM QUATERS,CHAMUND BRIDGE END, NARODA ROAD, AHMEDABAD, 380025",urban_health_centre,23.0494951,72.6237103,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_area
41,South,NAROL OPP/SHREERAM,AMC-46,"NAROL OPP/SHREERAM RESIDENCY,NATIONAL HIGHWAY -8 KARNAVATI-2 NEAR,NAROL",urban_health_centre,22.9483926,72.5977854,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_ward_name
42,West,NAVA WADAJ,AMC-06,"NAVA WADAJ NAVA WADAJ UPHC,NR.PARTH TOWER,NAVAWADAJ",urban_health_centre,23.0682238,72.5640995,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_ward_name
43,West,NAVRANGPURA DEVPATH,AMC-18,"NAVRANGPURA DEVPATH MALL, NR. LALBUNGLOWS, C.G.ROAD, NAVRANGPURA",urban_health_centre,23.0304073,72.5572076,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_locality
44,West,NEW AMBAWADI,AMC-18,"NEW AMBAWADI OPP MALAV TALAV, NR CHANCHAL PARTY PLOT VASNA",urban_health_centre,23.024974,72.5568313,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_area
45,South,NEW BEHRAMPURA,AMC-35,"NEW BEHRAMPURA NEW BEHRAMPURA UPHC,NR. ALISHAN COMPLEX,OPP.DANILIMDA BRTS, DANILIMDA ROAD,AHMEDABAD",urban_health_centre,22.995486,72.579059,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_area
46,North West,NEW GOTA,AMC-01,"NEW GOTA NEWGOTA UHC,NR SURAMYA COMPLEX,B/H GANESH MARIDIAN HOTEL,GOTA",urban_health_centre,23.1004239,72.5157313,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_area
47,West,NEW RANIP,AMC-05,"NEW RANIP NEWRANIP UHC, OPP.AMC GARDEN, NEAR OM RESIDENCY, NEWRANIP DR, KISHORKUMAR D PRAJAPTI 9727753215",urban_health_centre,23.092529,72.561323,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_area
48,South West,NEW VEJALPUR,AMC-20,"NEW VEJALPUR NEW VEJALPUR UPHC, OPP JIVRAJPARK, BELOW. SHYAMA PRASAD MUKHARJI BRIDGE, JIVRAJPARK, AHMEDABAD. 380051.",urban_health_centre,23.0273641,72.5023369,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_area
49,East,NAVA NIKOL,AMC-24,"NAVA NIKOL NIKOL 2 URBAN HEALTH CENTER, B/H PANCHAMRUT SCHOOL, KANBA HOSPITAL ROAD, NIKOL GHAM, NIKOL, AHMEDABAD",urban_health_centre,23.0579323,72.6713834,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_area
50,East,NIKOL (NAVA,AMC-24,"NIKOL (NAVA NARODA) NIKOL(NAVA NARODA) URBEN HELTH CEnTER, NR. ZEEL RESI., NR. BETI BACHAO GARDEN, NIKOL, AHEMEDABAD",urban_health_centre,23.0579323,72.6713834,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_area
51,North,NOBALNAGAR NOBALNAGAR,,NOBALNAGAR NOBALNAGAR URBAN HEALTH CENTRE B/H GANPATI TEMPLE OPP NARODA POLICE STATION NARODA,urban_health_centre,,,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",not_found
52,East,ODHAV ODHAV,AMC-40,"ODHAV ODHAV URBAN HELATH CENTER NEAR RANCHHODJI TEMPLE,RABARI VASHAT,ODHAV DR,KALPESH PARIKH 9727721540",urban_health_centre,23.0255796,72.6653505,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_area
53,West,PALDI FATEHPURA,AMC-30,PALDI FATEHPURA GAM PANI NI TANKI PASE PALDI Dr. MEETABEN DANI 9727721513,urban_health_centre,23.0145531,72.5635432,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_ward_name
54,South,PIPLAJ URBAN,AMC-45,"PIPLAJ URBAN HEALTH CENTER PIPALJ ,NEAR MUNCIPAL SCHOOL PIPALJ GAM - 382315",urban_health_centre,22.980519,72.602448,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_locality
55,Central,"RAIKHAD RAIKHADUPHC,OPP",,"RAIKHAD RAIKHADUPHC,OPP GAYKWAD HAWELI IN RAJ HOSPITAL BUILDING,RAIKHAD",urban_health_centre,,,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",not_found
56,East,RAJPUR OPP-CHAKUDIYA,AMC-39,"RAJPUR OPP-CHAKUDIYA MAHADEV MANDIR,BEHIND CIVIK CENTER,RAJPUR",urban_health_centre,23.0136957,72.620581,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_ward_name
57,North,RAKHIYAL RAKHIAL,AMC-12,"RAKHIYAL RAKHIAL URBAN HEALTH CENTRE,OPP. RAKHIAL URDU SCHOOL,RAKHIAL CHAR RASTA,RAKHIAL,AHMEDABAD:380021DR.DEEPANKAR DUBEY .(RAKHIAL CHC MO IN ADISTIONAL CHARGE OF RAKHIAL UHC)7202041041",urban_health_centre,23.0748764,72.6583652,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_ward_name
58,East,RAMOL RAMOL,AMC-48,RAMOL RAMOL UPHC OLD PHC NA MAKAN MA SMASHANGRUH NI BAJUMA BHARVADVAS NEAR RAMOL,urban_health_centre,22.9719078,72.6422434,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_area
59,West,RANIP RANIP,AMC-10,"RANIP RANIP UPHC,OPP ROOPKAMAL SOC,NEAR GAYATRI TEMPAL ROAD,RANIP",urban_health_centre,23.0667298,72.581366,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_area
60,West,SABARMATI SABARMATI,AMC-04,"SABARMATI SABARMATI UHC,NR. PUKHRAJ HOSPITAL,OPP. JOGANI MATA TEMPLE ,RAMNAGAR,SABARMATI,AHMEDABAD-380005",urban_health_centre,23.0837834,72.5889122,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_area
61,North,SAIJPUR SAIJPUR,AMC-13,"SAIJPUR SAIJPUR UHC , B/H ANAND SURGICAL HOSPITAL, NEAR RAJIV GANDHI BHAVAN, MEMCO FOUR CROSS , NARODA ROAD, AHMEDABAD",urban_health_centre,23.059665,72.6414371,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_area
62,South West,SANKALITNAGAR URBAN,,"SANKALITNAGAR URBAN HELTH CENTER SANKALITNAGAR, NRSHAHIN DISPENSARY, E WARD JUHAPURA AHEMEDABAD 380055",urban_health_centre,,,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",not_found
63,North,SARASPUR SARASPUR,AMC-27,"SARASPUR SARASPUR URBAN HEALTH CENTER,NEAR POTALIYA CROSS ROAD, AHMEDABAD 380018",urban_health_centre,,,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",not_found
64,North,SARDARNAGAR URBAN,AMC-11,"SARDARNAGAR URBAN HEALTH CENTRE SARDARNAGAR, OPP. MUNCIPAL WARD OFFICE, AMBAWADI, SARDARNAGAR, AHMEDABAD",urban_health_centre,23.0811113,72.6242288,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_ward_name
65,North,SARDARNAGAR -,AMC-11,"SARDARNAGAR - 2 URBAN HEALTH CENTRE SARDARNAGAR-2, OPP. ITI KUBERNAGAR, NR. OZONE CITY FLAT, NARODA, AHMEDABAD-382340",urban_health_centre,23.0811113,72.6242288,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_area
66,South West,SARKHEJ SARKHEJ,AMC-33,"SARKHEJ SARKHEJ UHC NR. ITI COLLEGE, OPP. SHAKARI TALAV, SARKHEJ",urban_health_centre,22.9998487,72.5045567,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_area
67,Central,SHAHPUR SHAHPUR,AMC-17,"SHAHPUR SHAHPUR URBAN HEALTH CENTRE,OPP MANGAL PAREKH NO KHANCHO,SHAHPUR DARWAJA SHAHPUR",urban_health_centre,23.0360108,72.5781671,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_area
68,West,STADIUM STADIUM,AMC-04,"STADIUM STADIUM UPHC, NR, SHAH HOSPITAL , OPP.MITRA FOUNDATION, CAFE COFEE DAY LANE, SHNATINAGAR, JUNA VADAJ, AHMEDABAD.",urban_health_centre,23.0917717,72.5973345,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_area
69,North,THAKKARNAGAR Nr.,AMC-23,"THAKKARNAGAR Nr. Thakkarbapanagar Ward Office, Opp. Bajarang Aashram, Thakkarbapanagar, Ahmedabad-382350",urban_health_centre,,,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",not_found
70,North West,THALTEJ OPPOSITE,AMC-08,THALTEJ OPPOSITE KHODIYAR NAGAR NR DWARKESH FLAT BEHIND PALM BEACH BUNGLOW MALAV TALAV THALTEJ 380059,urban_health_centre,23.0509007,72.5037209,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_area
71,West,NEW VASNA,AMC-31,"NEW VASNA VASNA URBAN HEALTH CENTRE,OPPOSITE DIVINE LIFE SCHOOL,NEAR VASNA MASTER STATION ,VASNA BARRAGE ROAD",urban_health_centre,23.0020055,72.5472413,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_locality
72,West,OLD VASNA,AMC-31,"OLD VASNA VASNA URBAN HEALTH CENTER,NEAR CANCER HOSPITAL OPP GUPTA NAGAR VASNA",urban_health_centre,23.0020055,72.5472413,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_locality
73,East,VASTRAL VASTRAL,AMC-41,"VASTRAL VASTRAL URBAN HEALTH CENTER OPPOSITE RAJDANI TENAMENT,NEAR ARPAN SCHOOL, VASTRAL-382418",urban_health_centre,22.9984321,72.6629456,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_area
74,South,VATVA SMRUTI,AMC-47,"VATVA SMRUTI MANDIR SMRUTI MANDIR UHC OPP.,CHANDRALOK BUNGLOWS,BESIDE SMRUTI MANDIR,CANAL ROAD,GHODASAR",urban_health_centre,22.9720513,72.6140378,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_locality
75,South,VATVA MADNINAGAR,AMC-47,"VATVA MADNINAGAR MADNINAGAR UPHC , B/H ASMI SCHOOL, NR ALFALA- SOC, TASLIM SOC, VATVA",urban_health_centre,22.9590328,72.6295542,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_ward_name
76,South West,VEJALPUR VEJALPUR,AMC-20,"VEJALPUR VEJALPUR URBAN HEALTH CENTER NEAR, AMBE MATA MANDIR, VEJALPUR GAM, VEJALPUR, AHMEDABAD",urban_health_centre,23.0139664,72.5288636,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_area
77,East,VIRATNAGAR VIRATNAGAR,AMC-25,VIRATNAGAR VIRATNAGAR UPHC OPP LILANAGAR NR THAKKARNAGAR CHAR RASHTA NIKOL GAM ROAD VIRATNAGAR -382350,urban_health_centre,23.028875124333464,72.64449666386251,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",ward_centroid
78,South,VATVA CHC,AMC-47,VATVA CHC NR.RAJARAM SCHOOL OPP DERIYA PARA VATVA GAM KASHIBA GENRAL HOSPITAL VATVA 382440,urban_health_centre,22.9590328,72.6295542,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_ward_name
79,North West,BOPAL BOPAL,AMC-19,BOPAL BOPAL UPHC MOTO RAVAL VAS NEAR WATER TANK BOPAL GAM,urban_health_centre,23.0284711,72.5015992,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_area
