name,operator,beds,lat,lon,ward_id,coord_quality,beds_source,notes
Ahmedabad Civil Hospital (Asarwa campus),Government of Gujarat,3500,23.0523,72.60438,AMC-16,osm,https://en.wikipedia.org/wiki/Healthcare_in_Ahmedabad,"2,800 in main hospital; 3,500 including autonomous kidney/cancer/heart/eye/TB hospitals on the same campus"
Sardar Vallabhbhai Patel Institute of Medical Sciences and Research (SVP),AMC,1500,23.0190,72.5720,AMC-30,approx_same_campus_as_VS,https://en.wikipedia.org/wiki/Healthcare_in_Ahmedabad,"On the VS Hospital campus, Ellisbridge; 2023-24 news reports substantial under-utilisation"
Sheth Vadilal Sarabhai General Hospital (VS),AMC,1115,23.01883,72.57142,AMC-30,osm,https://en.wikipedia.org/wiki/Healthcare_in_Ahmedabad,"Bed count may have fallen after services moved to SVP; verify"
Sheth Lallubhai Gordhandas Municipal General Hospital (LG),AMC,1050,22.9994,72.60466,AMC-37,osm,https://en.wikipedia.org/wiki/Healthcare_in_Ahmedabad,"Reconstruction planned (DeshGujarat, Aug 2023)"
Shardaben General Hospital,AMC,620,,,AMC-27,ward_only,https://deshgujarat.com/2023/08/28/amc-plans-to-reconstruct-lg-and-sharaben-hospital-buildings/,"Saraspur; coordinates not found in OSM/Nominatim - add manually"
