part,forecast,lead_days,pod,far,exact,mri_mae,n,brier,bss
A,ECMWF IFS,1,0.7949367088607595,0.18652849740932642,0.7169715447154471,5.5678393518715374,1968,,
A,ECMWF IFS,2,0.8784810126582279,0.1930232558139535,0.6824186991869918,5.906660268807542,1968,,
A,ECMWF IFS,3,0.8202531645569621,0.2669683257918552,0.5472560975609756,7.365692914550758,1968,,
A,ECMWF IFS,4,0.8645569620253165,0.2679528403001072,0.5792682926829268,7.705341511352065,1968,,
A,ECMWF IFS,5,0.8075949367088607,0.2989010989010989,0.5508130081300813,8.65905481695689,1968,,
A,GFS,1,0.4240506329113924,0.08469945355191257,0.4695121951219512,11.81322308608735,1968,,
A,GFS,2,0.3430379746835443,0.007326007326007326,0.3155487804878049,16.933109662956873,1968,,
A,GFS,3,0.17468354430379746,0.33653846153846156,0.28353658536585363,18.452499504466623,1968,,
A,GFS,4,0.2430379746835443,0.21311475409836064,0.2779471544715447,16.381885092161614,1968,,
A,GFS,5,0.18354430379746836,0.0,0.3252032520325203,14.13710112018061,1968,,
A,ICON,1,0.8822784810126583,0.3139763779527559,0.5645325203252033,8.173450954518689,1968,,
A,ICON,2,0.850632911392405,0.3225806451612903,0.5960365853658537,7.9641541152720325,1968,,
A,ICON,3,0.8670886075949367,0.29815573770491804,0.5294715447154471,9.248603645288686,1968,,
A,ICON,4,0.9012658227848102,0.35154826958105645,0.4725609756097561,10.95694390440088,1968,,
A,ICON,5,0.839240506329114,0.33567134268537074,0.49390243902439024,11.403731738960875,1968,,
B,Lagged ensemble (ECMWF+GFS+ICON × 3 issue days),1,,,,,1968,0.11612340660443643,0.516721389245083
B,Lagged ensemble (ECMWF+GFS+ICON × 3 issue days),2,,,,,1968,0.12089732008431196,0.4968534716401729
B,Lagged ensemble (ECMWF+GFS+ICON × 3 issue days),3,,,,,1968,0.12983037237779785,0.45967618560943446
B,Lagged ensemble (ECMWF+GFS+ICON × 3 issue days),4,,,,,1968,0.11522006423767943,0.5204808900796521
B,Lagged ensemble (ECMWF+GFS+ICON × 3 issue days),5,,,,,1968,0.1365991669175951,0.4315060369948509
